txl1_x,txl1_y,txl1_z,txl2_x,txl2_y,txl2_z,txl3_x,txl3_y,txl3_z,txl4_x,txl4_y,txl4_z,txl5_x,txl5_y,txl5_z,txl6_x,txl6_y,txl6_z,txl7_x,txl7_y,txl7_z,txl8_x,txl8_y,txl8_z,txl9_x,txl9_y,txl9_z,txl10_x,txl10_y,txl10_z,txl11_x,txl11_y,txl11_z,txl12_x,txl12_y,txl12_z,txl13_x,txl13_y,txl13_z,txl14_x,txl14_y,txl14_z,txl15_x,txl15_y,txl15_z,txl16_x,txl16_y,txl16_z
15893.0,16657.0,38296.0,15872.0,16543.0,37922.0,15677.0,16595.0,38075.0,15350.0,16400.0,39050.0,16018.0,16367.0,37558.0,15694.0,16473.0,38009.0,15788.0,16531.0,37657.0,15502.0,16390.0,38129.0,16213.0,16492.0,37560.0,15881.0,16273.0,38048.0,15665.0,16273.0,38015.0,15436.0,16351.0,38579.0,16061.0,16274.0,38679.0,15896.0,16343.0,38892.0,15727.0,16127.0,38389.0,15507.0,16022.0,38560.0
15893.0,16657.0,38296.0,15870.0,16545.0,37923.0,15678.0,16595.0,38076.0,15351.0,16399.0,39051.0,16018.0,16367.0,37556.0,15696.0,16473.0,38008.0,15788.0,16531.0,37657.0,15502.0,16390.0,38129.0,16213.0,16492.0,37560.0,15879.0,16273.0,38052.0,15663.0,16273.0,38020.0,15438.0,16347.0,38582.0,16059.0,16274.0,38685.0,15898.0,16344.0,38893.0,15727.0,16127.0,38389.0,15507.0,16022.0,38560.0
15893.0,16657.0,38296.0,15870.0,16545.0,37923.0,15678.0,16595.0,38076.0,15351.0,16399.0,39051.0,16018.0,16367.0,37556.0,15696.0,16473.0,38008.0,15788.0,16531.0,37657.0,15502.0,16390.0,38129.0,16213.0,16492.0,37560.0,15879.0,16273.0,38052.0,15663.0,16273.0,38020.0,15438.0,16347.0,38582.0,16059.0,16274.0,38685.0,15898.0,16344.0,38893.0,15727.0,16127.0,38389.0,15507.0,16022.0,38560.0
15891.0,16658.0,38295.0,15871.0,16546.0,37916.0,15678.0,16596.0,38073.0,15350.0,16400.0,39048.0,16019.0,16367.0,37555.0,15694.0,16473.0,38006.0,15788.0,16532.0,37654.0,15501.0,16390.0,38130.0,16213.0,16494.0,37554.0,15882.0,16274.0,38049.0,15663.0,16273.0,38015.0,15437.0,16348.0,38580.0,16060.0,16276.0,38684.0,15897.0,16344.0,38894.0,15730.0,16125.0,38390.0,15506.0,16022.0,38566.0
15891.0,16658.0,38295.0,15871.0,16546.0,37916.0,15677.0,16595.0,38070.0,15348.0,16400.0,39049.0,16017.0,16367.0,37558.0,15694.0,16474.0,38003.0,15787.0,16533.0,37655.0,15501.0,16390.0,38130.0,16213.0,16494.0,37554.0,15882.0,16274.0,38049.0,15663.0,16273.0,38021.0,15435.0,16348.0,38579.0,16060.0,16276.0,38683.0,15896.0,16343.0,38895.0,15728.0,16126.0,38392.0,15507.0,16022.0,38561.0
15890.0,16658.0,38290.0,15871.0,16544.0,37916.0,15676.0,16597.0,38078.0,15348.0,16400.0,39048.0,16018.0,16369.0,37554.0,15695.0,16472.0,38004.0,15786.0,16532.0,37650.0,15499.0,16390.0,38131.0,16215.0,16496.0,37556.0,15880.0,16275.0,38045.0,15664.0,16274.0,38016.0,15437.0,16348.0,38584.0,16061.0,16275.0,38685.0,15898.0,16344.0,38895.0,15727.0,16125.0,38392.0,15506.0,16020.0,38558.0
15890.0,16658.0,38290.0,15870.0,16546.0,37916.0,15676.0,16596.0,38068.0,15347.0,16400.0,39047.0,16016.0,16369.0,37555.0,15693.0,16473.0,38003.0,15786.0,16532.0,37650.0,15499.0,16390.0,38131.0,16215.0,16496.0,37556.0,15878.0,16276.0,38044.0,15662.0,16276.0,38019.0,15436.0,16347.0,38586.0,16060.0,16276.0,38682.0,15895.0,16344.0,38890.0,15728.0,16127.0,38387.0,15506.0,16020.0,38558.0
15889.0,16659.0,38289.0,15870.0,16548.0,37919.0,15673.0,16596.0,38064.0,15347.0,16400.0,39053.0,16016.0,16369.0,37553.0,15690.0,16475.0,37998.0,15784.0,16531.0,37649.0,15496.0,16391.0,38128.0,16211.0,16497.0,37554.0,15879.0,16277.0,38043.0,15662.0,16272.0,38016.0,15435.0,16347.0,38581.0,16059.0,16276.0,38673.0,15895.0,16346.0,38877.0,15727.0,16125.0,38392.0,15504.0,16019.0,38560.0
15887.0,16660.0,38289.0,15869.0,16547.0,37918.0,15673.0,16597.0,38066.0,15344.0,16398.0,39047.0,16015.0,16369.0,37554.0,15690.0,16475.0,37998.0,15784.0,16531.0,37649.0,15496.0,16391.0,38128.0,16212.0,16497.0,37560.0,15881.0,16277.0,38042.0,15663.0,16272.0,38021.0,15433.0,16345.0,38580.0,16061.0,16277.0,38679.0,15895.0,16344.0,38885.0,15727.0,16125.0,38392.0,15504.0,16019.0,38560.0
15887.0,16660.0,38289.0,15869.0,16547.0,37918.0,15677.0,16596.0,38066.0,15346.0,16398.0,39040.0,16016.0,16370.0,37560.0,15693.0,16474.0,37999.0,15785.0,16532.0,37644.0,15496.0,16390.0,38127.0,16212.0,16497.0,37560.0,15881.0,16277.0,38042.0,15665.0,16273.0,38019.0,15438.0,16346.0,38571.0,16063.0,16280.0,38687.0,15898.0,16347.0,38890.0,15729.0,16126.0,38394.0,15508.0,16018.0,38556.0
