txl1_x,txl1_y,txl1_z,txl2_x,txl2_y,txl2_z,txl3_x,txl3_y,txl3_z,txl4_x,txl4_y,txl4_z,txl5_x,txl5_y,txl5_z,txl6_x,txl6_y,txl6_z,txl7_x,txl7_y,txl7_z,txl8_x,txl8_y,txl8_z,txl9_x,txl9_y,txl9_z,txl10_x,txl10_y,txl10_z,txl11_x,txl11_y,txl11_z,txl12_x,txl12_y,txl12_z,txl13_x,txl13_y,txl13_z,txl14_x,txl14_y,txl14_z,txl15_x,txl15_y,txl15_z,txl16_x,txl16_y,txl16_z
15901.0,16363.0,39657.0,15997.0,16502.0,39178.0,15761.0,16401.0,38986.0,15294.0,16594.0,40343.0,15965.0,16511.0,38520.0,15983.0,16417.0,37966.0,15809.0,16452.0,37909.0,15570.0,16526.0,38289.0,16249.0,16350.0,37750.0,16082.0,16327.0,37869.0,15890.0,16191.0,37284.0,15643.0,16334.0,37949.0,16217.0,16233.0,38384.0,16050.0,16358.0,37887.0,15947.0,16265.0,37550.0,15726.0,16455.0,38227.0
15901.0,16363.0,39657.0,15997.0,16502.0,39178.0,15761.0,16401.0,38986.0,15294.0,16594.0,40343.0,15965.0,16511.0,38521.0,15983.0,16417.0,37962.0,15809.0,16452.0,37906.0,15570.0,16526.0,38289.0,16249.0,16350.0,37750.0,16082.0,16327.0,37869.0,15890.0,16191.0,37284.0,15643.0,16334.0,37949.0,16215.0,16231.0,38385.0,16049.0,16359.0,37890.0,15946.0,16266.0,37548.0,15725.0,16456.0,38228.0
15902.0,16362.0,39654.0,15997.0,16502.0,39175.0,15761.0,16401.0,38972.0,15293.0,16594.0,40341.0,15967.0,16510.0,38521.0,15982.0,16416.0,37966.0,15808.0,16453.0,37908.0,15570.0,16526.0,38284.0,16248.0,16351.0,37753.0,16082.0,16327.0,37872.0,15891.0,16191.0,37278.0,15643.0,16334.0,37944.0,16214.0,16232.0,38379.0,16048.0,16360.0,37883.0,15946.0,16266.0,37551.0,15725.0,16456.0,38229.0
15901.0,16361.0,39652.0,15997.0,16501.0,39174.0,15761.0,16400.0,38977.0,15291.0,16595.0,40341.0,15967.0,16510.0,38521.0,15982.0,16416.0,37966.0,15808.0,16453.0,37908.0,15567.0,16525.0,38288.0,16248.0,16348.0,37756.0,16083.0,16325.0,37872.0,15888.0,16191.0,37284.0,15642.0,16334.0,37949.0,16214.0,16232.0,38379.0,16048.0,16360.0,37883.0,15946.0,16266.0,37551.0,15725.0,16456.0,38229.0
15903.0,16361.0,39654.0,15998.0,16501.0,39183.0,15761.0,16401.0,38976.0,15293.0,16594.0,40344.0,15965.0,16511.0,38522.0,15981.0,16414.0,37971.0,15808.0,16451.0,37910.0,15571.0,16526.0,38293.0,16248.0,16351.0,37757.0,16082.0,16328.0,37871.0,15890.0,16192.0,37290.0,15640.0,16334.0,37946.0,16215.0,16232.0,38376.0,16050.0,16358.0,37884.0,15947.0,16266.0,37547.0,15726.0,16454.0,38227.0
15903.0,16361.0,39656.0,15998.0,16501.0,39179.0,15764.0,16401.0,38980.0,15296.0,16597.0,40345.0,15964.0,16509.0,38525.0,15983.0,16415.0,37963.0,15809.0,16453.0,37910.0,15571.0,16528.0,38294.0,16248.0,16348.0,37756.0,16081.0,16325.0,37873.0,15889.0,16189.0,37285.0,15641.0,16331.0,37942.0,16215.0,16231.0,38379.0,16048.0,16358.0,37890.0,15945.0,16267.0,37552.0,15725.0,16456.0,38225.0
15904.0,16359.0,39653.0,15998.0,16500.0,39184.0,15764.0,16401.0,38982.0,15295.0,16598.0,40345.0,15966.0,16509.0,38528.0,15984.0,16415.0,37974.0,15808.0,16453.0,37910.0,15571.0,16528.0,38280.0,16247.0,16349.0,37750.0,16080.0,16325.0,37867.0,15889.0,16193.0,37282.0,15641.0,16333.0,37944.0,16215.0,16231.0,38379.0,16050.0,16357.0,37883.0,15948.0,16267.0,37546.0,15725.0,16456.0,38225.0
15906.0,16358.0,39663.0,16002.0,16500.0,39183.0,15765.0,16400.0,38981.0,15298.0,16596.0,40344.0,15966.0,16509.0,38528.0,15984.0,16415.0,37974.0,15812.0,16454.0,37907.0,15573.0,16527.0,38286.0,16248.0,16348.0,37759.0,16084.0,16325.0,37873.0,15891.0,16192.0,37286.0,15643.0,16332.0,37953.0,16215.0,16231.0,38379.0,16050.0,16357.0,37883.0,15948.0,16267.0,37546.0,15724.0,16457.0,38225.0
15906.0,16357.0,39655.0,16002.0,16499.0,39181.0,15764.0,16404.0,38985.0,15297.0,16600.0,40346.0,15966.0,16506.0,38531.0,15985.0,16415.0,37970.0,15808.0,16451.0,37907.0,15569.0,16529.0,38292.0,16245.0,16344.0,37758.0,16080.0,16323.0,37871.0,15888.0,16193.0,37282.0,15644.0,16335.0,37943.0,16213.0,16230.0,38380.0,16048.0,16356.0,37883.0,15943.0,16266.0,37542.0,15721.0,16457.0,38224.0
15904.0,16355.0,39642.0,16000.0,16499.0,39181.0,15763.0,16402.0,38979.0,15292.0,16600.0,40346.0,15965.0,16505.0,38515.0,15982.0,16415.0,37966.0,15806.0,16453.0,37910.0,15569.0,16528.0,38290.0,16245.0,16347.0,37752.0,16078.0,16325.0,37866.0,15886.0,16190.0,37281.0,15639.0,16337.0,37946.0,16212.0,16228.0,38366.0,16044.0,16356.0,37880.0,15944.0,16266.0,37538.0,15722.0,16456.0,38230.0
15902.0,16356.0,39640.0,15998.0,16498.0,39174.0,15761.0,16402.0,38981.0,15290.0,16599.0,40349.0,15964.0,16505.0,38510.0,15980.0,16416.0,37965.0,15806.0,16453.0,37910.0,15568.0,16529.0,38300.0,16243.0,16346.0,37749.0,16079.0,16322.0,37869.0,15886.0,16192.0,37283.0,15638.0,16335.0,37946.0,16211.0,16227.0,38373.0,16044.0,16357.0,37872.0,15943.0,16266.0,37538.0,15719.0,16458.0,38226.0
